mode,step,epoch,metrics
train,step=600,epoch=20,loss=1.175829 loss_rec=1.173518 loss_eq=0.046221 acc/pixel_acc=0.646975 acc/mean_pixel_acc=0.303882 acc/iou=0.219132
val,step=620,epoch=20,loss=0.937064 loss_rec=0.937064 loss_eq=0.000000 acc/pixel_acc=0.670960 acc/mean_pixel_acc=0.306923 acc/iou=0.225488 best_acc/pixel_acc=0.670960 best_acc/mean_pixel_acc=0.307871 best_acc/iou=0.228290
val,step=651,epoch=21,loss=0.919083 loss_rec=0.919083 loss_eq=0.000000 acc/pixel_acc=0.680770 acc/mean_pixel_acc=0.321161 acc/iou=0.238958 best_acc/pixel_acc=0.680770 best_acc/mean_pixel_acc=0.321161 best_acc/iou=0.238958
val,step=682,epoch=22,loss=0.889921 loss_rec=0.889921 loss_eq=0.000000 acc/pixel_acc=0.687246 acc/mean_pixel_acc=0.328441 acc/iou=0.249459 best_acc/pixel_acc=0.687246 best_acc/mean_pixel_acc=0.328441 best_acc/iou=0.249459
train,step=700,epoch=23,loss=0.970235 loss_rec=0.967578 loss_eq=0.053145 acc/pixel_acc=0.664052 acc/mean_pixel_acc=0.334572 acc/iou=0.248851
val,step=713,epoch=23,loss=0.868091 loss_rec=0.868091 loss_eq=0.000000 acc/pixel_acc=0.694042 acc/mean_pixel_acc=0.335788 acc/iou=0.257442 best_acc/pixel_acc=0.694042 best_acc/mean_pixel_acc=0.335788 best_acc/iou=0.257442
val,step=744,epoch=24,loss=0.878121 loss_rec=0.878121 loss_eq=0.000000 acc/pixel_acc=0.693821 acc/mean_pixel_acc=0.339008 acc/iou=0.256943 best_acc/pixel_acc=0.694042 best_acc/mean_pixel_acc=0.339008 best_acc/iou=0.257442
val,step=775,epoch=25,loss=0.854998 loss_rec=0.854998 loss_eq=0.000000 acc/pixel_acc=0.698837 acc/mean_pixel_acc=0.356694 acc/iou=0.267958 best_acc/pixel_acc=0.698837 best_acc/mean_pixel_acc=0.356694 best_acc/iou=0.267958
train,step=800,epoch=26,loss=1.057120 loss_rec=1.052609 loss_eq=0.090236 acc/pixel_acc=0.672267 acc/mean_pixel_acc=0.362039 acc/iou=0.270314
val,step=806,epoch=26,loss=0.836023 loss_rec=0.836023 loss_eq=0.000000 acc/pixel_acc=0.703575 acc/mean_pixel_acc=0.352931 acc/iou=0.274171 best_acc/pixel_acc=0.703575 best_acc/mean_pixel_acc=0.356694 best_acc/iou=0.274171
val,step=837,epoch=27,loss=0.850052 loss_rec=0.850052 loss_eq=0.000000 acc/pixel_acc=0.697063 acc/mean_pixel_acc=0.340844 acc/iou=0.263121 best_acc/pixel_acc=0.703575 best_acc/mean_pixel_acc=0.356694 best_acc/iou=0.274171
val,step=868,epoch=28,loss=0.835471 loss_rec=0.835471 loss_eq=0.000000 acc/pixel_acc=0.697048 acc/mean_pixel_acc=0.348685 acc/iou=0.267571 best_acc/pixel_acc=0.703575 best_acc/mean_pixel_acc=0.356694 best_acc/iou=0.274171
val,step=899,epoch=29,loss=0.834663 loss_rec=0.834663 loss_eq=0.000000 acc/pixel_acc=0.704856 acc/mean_pixel_acc=0.367857 acc/iou=0.281622 best_acc/pixel_acc=0.704856 best_acc/mean_pixel_acc=0.367857 best_acc/iou=0.281622
