mode,step,epoch,metrics
val,step=2573,epoch=83,loss=0.556018 loss_rec=0.556018 loss_eq=0.000000 acc/pixel_acc=0.824638 acc/mean_pixel_acc=0.674685 acc/iou=0.562615 best_acc/pixel_acc=0.830199 best_acc/mean_pixel_acc=0.682496 best_acc/iou=0.573882
train,step=2600,epoch=84,loss=0.334618 loss_rec=0.320703 loss_eq=0.278310 acc/pixel_acc=0.884498 acc/mean_pixel_acc=0.776402 acc/iou=0.683873
val,step=2604,epoch=84,loss=0.510408 loss_rec=0.510408 loss_eq=0.000000 acc/pixel_acc=0.833830 acc/mean_pixel_acc=0.686836 acc/iou=0.585615 best_acc/pixel_acc=0.833830 best_acc/mean_pixel_acc=0.686836 best_acc/iou=0.585615
val,step=2635,epoch=85,loss=0.476278 loss_rec=0.476278 loss_eq=0.000000 acc/pixel_acc=0.838957 acc/mean_pixel_acc=0.696661 acc/iou=0.592337 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.696661 best_acc/iou=0.592337
val,step=2666,epoch=86,loss=0.507908 loss_rec=0.507908 loss_eq=0.000000 acc/pixel_acc=0.830124 acc/mean_pixel_acc=0.697511 acc/iou=0.581312 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.697511 best_acc/iou=0.592337
val,step=2697,epoch=87,loss=0.503167 loss_rec=0.503167 loss_eq=0.000000 acc/pixel_acc=0.835248 acc/mean_pixel_acc=0.700108 acc/iou=0.587319 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.700108 best_acc/iou=0.592337
train,step=2700,epoch=88,loss=0.359670 loss_rec=0.346070 loss_eq=0.272002 acc/pixel_acc=0.885941 acc/mean_pixel_acc=0.775858 acc/iou=0.688899
val,step=2728,epoch=88,loss=0.480905 loss_rec=0.480905 loss_eq=0.000000 acc/pixel_acc=0.838862 acc/mean_pixel_acc=0.699680 acc/iou=0.596110 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.700108 best_acc/iou=0.596110
val,step=2759,epoch=89,loss=0.477634 loss_rec=0.477634 loss_eq=0.000000 acc/pixel_acc=0.833009 acc/mean_pixel_acc=0.696060 acc/iou=0.586280 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.700108 best_acc/iou=0.596110
val,step=2790,epoch=90,loss=0.525472 loss_rec=0.525472 loss_eq=0.000000 acc/pixel_acc=0.832626 acc/mean_pixel_acc=0.705758 acc/iou=0.583906 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.705758 best_acc/iou=0.596110
train,step=2800,epoch=91,loss=0.348628 loss_rec=0.332523 loss_eq=0.322093 acc/pixel_acc=0.895081 acc/mean_pixel_acc=0.790593 acc/iou=0.702426
val,step=2821,epoch=91,loss=0.555128 loss_rec=0.555128 loss_eq=0.000000 acc/pixel_acc=0.831057 acc/mean_pixel_acc=0.701938 acc/iou=0.586301 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.705758 best_acc/iou=0.596110
val,step=2852,epoch=92,loss=0.531611 loss_rec=0.531611 loss_eq=0.000000 acc/pixel_acc=0.832271 acc/mean_pixel_acc=0.705018 acc/iou=0.590719 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.705758 best_acc/iou=0.596110
val,step=2883,epoch=93,loss=0.496079 loss_rec=0.496079 loss_eq=0.000000 acc/pixel_acc=0.832595 acc/mean_pixel_acc=0.702067 acc/iou=0.593195 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.705758 best_acc/iou=0.596110
train,step=2900,epoch=94,loss=0.313337 loss_rec=0.301925 loss_eq=0.228239 acc/pixel_acc=0.900657 acc/mean_pixel_acc=0.805138 acc/iou=0.720024
val,step=2914,epoch=94,loss=0.525551 loss_rec=0.525551 loss_eq=0.000000 acc/pixel_acc=0.831386 acc/mean_pixel_acc=0.707114 acc/iou=0.588858 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.707114 best_acc/iou=0.596110
val,step=2945,epoch=95,loss=0.496967 loss_rec=0.496967 loss_eq=0.000000 acc/pixel_acc=0.832079 acc/mean_pixel_acc=0.711703 acc/iou=0.590117 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.711703 best_acc/iou=0.596110
val,step=2976,epoch=96,loss=0.494943 loss_rec=0.494943 loss_eq=0.000000 acc/pixel_acc=0.836296 acc/mean_pixel_acc=0.702420 acc/iou=0.591575 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.711703 best_acc/iou=0.596110
train,step=3000,epoch=97,loss=0.377226 loss_rec=0.362628 loss_eq=0.291965 acc/pixel_acc=0.900410 acc/mean_pixel_acc=0.816695 acc/iou=0.732141
val,step=3007,epoch=97,loss=0.519799 loss_rec=0.519799 loss_eq=0.000000 acc/pixel_acc=0.823487 acc/mean_pixel_acc=0.677926 acc/iou=0.564350 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.711703 best_acc/iou=0.596110
val,step=3038,epoch=98,loss=0.464614 loss_rec=0.464614 loss_eq=0.000000 acc/pixel_acc=0.837270 acc/mean_pixel_acc=0.682063 acc/iou=0.580680 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.711703 best_acc/iou=0.596110
val,step=3069,epoch=99,loss=0.533745 loss_rec=0.533745 loss_eq=0.000000 acc/pixel_acc=0.835498 acc/mean_pixel_acc=0.707328 acc/iou=0.597701 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.711703 best_acc/iou=0.597701
train,step=3100,epoch=100,loss=0.314565 loss_rec=0.298778 loss_eq=0.315749 acc/pixel_acc=0.900468 acc/mean_pixel_acc=0.818278 acc/iou=0.734322
val,step=3100,epoch=100,loss=0.573691 loss_rec=0.573691 loss_eq=0.000000 acc/pixel_acc=0.828305 acc/mean_pixel_acc=0.694424 acc/iou=0.578162 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.711703 best_acc/iou=0.597701
val,step=3131,epoch=101,loss=0.548402 loss_rec=0.548402 loss_eq=0.000000 acc/pixel_acc=0.829159 acc/mean_pixel_acc=0.716793 acc/iou=0.595623 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.716793 best_acc/iou=0.597701
val,step=3162,epoch=102,loss=0.471244 loss_rec=0.471244 loss_eq=0.000000 acc/pixel_acc=0.836538 acc/mean_pixel_acc=0.696831 acc/iou=0.590135 best_acc/pixel_acc=0.838957 best_acc/mean_pixel_acc=0.716793 best_acc/iou=0.597701
val,step=3193,epoch=103,loss=0.477503 loss_rec=0.477503 loss_eq=0.000000 acc/pixel_acc=0.845632 acc/mean_pixel_acc=0.725479 acc/iou=0.623685 best_acc/pixel_acc=0.845632 best_acc/mean_pixel_acc=0.725479 best_acc/iou=0.623685
train,step=3200,epoch=104,loss=0.318846 loss_rec=0.305323 loss_eq=0.270449 acc/pixel_acc=0.907437 acc/mean_pixel_acc=0.836780 acc/iou=0.755039
val,step=3224,epoch=104,loss=0.473346 loss_rec=0.473346 loss_eq=0.000000 acc/pixel_acc=0.847167 acc/mean_pixel_acc=0.719994 acc/iou=0.618728 best_acc/pixel_acc=0.847167 best_acc/mean_pixel_acc=0.725479 best_acc/iou=0.623685
val,step=3255,epoch=105,loss=0.447415 loss_rec=0.447415 loss_eq=0.000000 acc/pixel_acc=0.848782 acc/mean_pixel_acc=0.718477 acc/iou=0.622152 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.725479 best_acc/iou=0.623685
val,step=3286,epoch=106,loss=0.474890 loss_rec=0.474890 loss_eq=0.000000 acc/pixel_acc=0.845120 acc/mean_pixel_acc=0.712567 acc/iou=0.612441 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.725479 best_acc/iou=0.623685
train,step=3300,epoch=107,loss=0.262983 loss_rec=0.251951 loss_eq=0.220645 acc/pixel_acc=0.912153 acc/mean_pixel_acc=0.852700 acc/iou=0.773739
val,step=3317,epoch=107,loss=0.502625 loss_rec=0.502625 loss_eq=0.000000 acc/pixel_acc=0.845646 acc/mean_pixel_acc=0.727334 acc/iou=0.620098 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.727334 best_acc/iou=0.623685
val,step=3348,epoch=108,loss=0.457760 loss_rec=0.457760 loss_eq=0.000000 acc/pixel_acc=0.846602 acc/mean_pixel_acc=0.726056 acc/iou=0.622138 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.727334 best_acc/iou=0.623685
val,step=3379,epoch=109,loss=0.468103 loss_rec=0.468103 loss_eq=0.000000 acc/pixel_acc=0.845314 acc/mean_pixel_acc=0.738413 acc/iou=0.619738 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.738413 best_acc/iou=0.623685
train,step=3400,epoch=110,loss=0.266151 loss_rec=0.253095 loss_eq=0.261116 acc/pixel_acc=0.911960 acc/mean_pixel_acc=0.850314 acc/iou=0.772428
val,step=3410,epoch=110,loss=0.490077 loss_rec=0.490077 loss_eq=0.000000 acc/pixel_acc=0.841870 acc/mean_pixel_acc=0.732387 acc/iou=0.619834 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.738413 best_acc/iou=0.623685
val,step=3441,epoch=111,loss=0.485875 loss_rec=0.485875 loss_eq=0.000000 acc/pixel_acc=0.839859 acc/mean_pixel_acc=0.737594 acc/iou=0.612747 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.738413 best_acc/iou=0.623685
val,step=3472,epoch=112,loss=0.475955 loss_rec=0.475955 loss_eq=0.000000 acc/pixel_acc=0.837836 acc/mean_pixel_acc=0.739250 acc/iou=0.607950 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.739250 best_acc/iou=0.623685
train,step=3500,epoch=113,loss=0.227288 loss_rec=0.217322 loss_eq=0.199306 acc/pixel_acc=0.911762 acc/mean_pixel_acc=0.859349 acc/iou=0.780932
val,step=3503,epoch=113,loss=0.508780 loss_rec=0.508780 loss_eq=0.000000 acc/pixel_acc=0.835284 acc/mean_pixel_acc=0.743273 acc/iou=0.610224 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.743273 best_acc/iou=0.623685
val,step=3534,epoch=114,loss=0.551702 loss_rec=0.551702 loss_eq=0.000000 acc/pixel_acc=0.839572 acc/mean_pixel_acc=0.751148 acc/iou=0.616741 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.751148 best_acc/iou=0.623685
val,step=3565,epoch=115,loss=0.445430 loss_rec=0.445430 loss_eq=0.000000 acc/pixel_acc=0.841161 acc/mean_pixel_acc=0.719010 acc/iou=0.605332 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.751148 best_acc/iou=0.623685
val,step=3596,epoch=116,loss=0.476087 loss_rec=0.476087 loss_eq=0.000000 acc/pixel_acc=0.845176 acc/mean_pixel_acc=0.724302 acc/iou=0.615879 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.751148 best_acc/iou=0.623685
train,step=3600,epoch=117,loss=0.271610 loss_rec=0.259483 loss_eq=0.242542 acc/pixel_acc=0.905053 acc/mean_pixel_acc=0.861165 acc/iou=0.772890
val,step=3627,epoch=117,loss=0.464939 loss_rec=0.464939 loss_eq=0.000000 acc/pixel_acc=0.844350 acc/mean_pixel_acc=0.731938 acc/iou=0.617771 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.751148 best_acc/iou=0.623685
val,step=3658,epoch=118,loss=0.465698 loss_rec=0.465698 loss_eq=0.000000 acc/pixel_acc=0.843910 acc/mean_pixel_acc=0.703378 acc/iou=0.600169 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.751148 best_acc/iou=0.623685
val,step=3689,epoch=119,loss=0.492723 loss_rec=0.492723 loss_eq=0.000000 acc/pixel_acc=0.839080 acc/mean_pixel_acc=0.710487 acc/iou=0.598914 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.751148 best_acc/iou=0.623685
train,step=3700,epoch=120,loss=0.266600 loss_rec=0.253302 loss_eq=0.265959 acc/pixel_acc=0.910118 acc/mean_pixel_acc=0.860287 acc/iou=0.780582
val,step=3720,epoch=120,loss=0.478945 loss_rec=0.478945 loss_eq=0.000000 acc/pixel_acc=0.838500 acc/mean_pixel_acc=0.703737 acc/iou=0.594316 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.751148 best_acc/iou=0.623685
val,step=3751,epoch=121,loss=0.492157 loss_rec=0.492157 loss_eq=0.000000 acc/pixel_acc=0.842815 acc/mean_pixel_acc=0.715708 acc/iou=0.608829 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.751148 best_acc/iou=0.623685
val,step=3782,epoch=122,loss=0.477094 loss_rec=0.477094 loss_eq=0.000000 acc/pixel_acc=0.845529 acc/mean_pixel_acc=0.725164 acc/iou=0.617991 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.751148 best_acc/iou=0.623685
train,step=3800,epoch=123,loss=0.261843 loss_rec=0.251635 loss_eq=0.204154 acc/pixel_acc=0.917965 acc/mean_pixel_acc=0.878704 acc/iou=0.802822
val,step=3813,epoch=123,loss=0.482042 loss_rec=0.482042 loss_eq=0.000000 acc/pixel_acc=0.845565 acc/mean_pixel_acc=0.732546 acc/iou=0.625992 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.751148 best_acc/iou=0.625992
val,step=3844,epoch=124,loss=0.473377 loss_rec=0.473377 loss_eq=0.000000 acc/pixel_acc=0.846237 acc/mean_pixel_acc=0.716016 acc/iou=0.612781 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.751148 best_acc/iou=0.625992
val,step=3875,epoch=125,loss=0.477320 loss_rec=0.477320 loss_eq=0.000000 acc/pixel_acc=0.843997 acc/mean_pixel_acc=0.722707 acc/iou=0.618377 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.751148 best_acc/iou=0.625992
train,step=3900,epoch=126,loss=0.267335 loss_rec=0.254842 loss_eq=0.249872 acc/pixel_acc=0.917597 acc/mean_pixel_acc=0.878363 acc/iou=0.803346
val,step=3906,epoch=126,loss=0.447514 loss_rec=0.447514 loss_eq=0.000000 acc/pixel_acc=0.843742 acc/mean_pixel_acc=0.719730 acc/iou=0.617232 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.751148 best_acc/iou=0.625992
val,step=3937,epoch=127,loss=0.430832 loss_rec=0.430832 loss_eq=0.000000 acc/pixel_acc=0.843319 acc/mean_pixel_acc=0.718075 acc/iou=0.619121 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.751148 best_acc/iou=0.625992
val,step=3968,epoch=128,loss=0.442916 loss_rec=0.442916 loss_eq=0.000000 acc/pixel_acc=0.844775 acc/mean_pixel_acc=0.732235 acc/iou=0.625629 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.751148 best_acc/iou=0.625992
val,step=3999,epoch=129,loss=0.510419 loss_rec=0.510419 loss_eq=0.000000 acc/pixel_acc=0.845635 acc/mean_pixel_acc=0.762676 acc/iou=0.635548 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.635548
train,step=4000,epoch=130,loss=0.251532 loss_rec=0.238310 loss_eq=0.264442 acc/pixel_acc=0.918922 acc/mean_pixel_acc=0.827217 acc/iou=0.749782
val,step=4030,epoch=130,loss=0.496570 loss_rec=0.496570 loss_eq=0.000000 acc/pixel_acc=0.845114 acc/mean_pixel_acc=0.761184 acc/iou=0.631903 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.635548
val,step=4061,epoch=131,loss=0.450633 loss_rec=0.450633 loss_eq=0.000000 acc/pixel_acc=0.848389 acc/mean_pixel_acc=0.754632 acc/iou=0.640204 best_acc/pixel_acc=0.848782 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.640204
val,step=4092,epoch=132,loss=0.445773 loss_rec=0.445773 loss_eq=0.000000 acc/pixel_acc=0.851172 acc/mean_pixel_acc=0.753503 acc/iou=0.643385 best_acc/pixel_acc=0.851172 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
train,step=4100,epoch=133,loss=0.218326 loss_rec=0.207420 loss_eq=0.218137 acc/pixel_acc=0.924102 acc/mean_pixel_acc=0.896401 acc/iou=0.820738
val,step=4123,epoch=133,loss=0.485859 loss_rec=0.485859 loss_eq=0.000000 acc/pixel_acc=0.844777 acc/mean_pixel_acc=0.741324 acc/iou=0.628780 best_acc/pixel_acc=0.851172 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
val,step=4154,epoch=134,loss=0.464837 loss_rec=0.464837 loss_eq=0.000000 acc/pixel_acc=0.845148 acc/mean_pixel_acc=0.732279 acc/iou=0.625500 best_acc/pixel_acc=0.851172 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
val,step=4185,epoch=135,loss=0.427271 loss_rec=0.427271 loss_eq=0.000000 acc/pixel_acc=0.851052 acc/mean_pixel_acc=0.735702 acc/iou=0.636120 best_acc/pixel_acc=0.851172 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
train,step=4200,epoch=136,loss=0.253074 loss_rec=0.240844 loss_eq=0.244601 acc/pixel_acc=0.922835 acc/mean_pixel_acc=0.886444 acc/iou=0.812930
val,step=4216,epoch=136,loss=0.469368 loss_rec=0.469368 loss_eq=0.000000 acc/pixel_acc=0.851811 acc/mean_pixel_acc=0.729839 acc/iou=0.627594 best_acc/pixel_acc=0.851811 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
val,step=4247,epoch=137,loss=0.449479 loss_rec=0.449479 loss_eq=0.000000 acc/pixel_acc=0.848039 acc/mean_pixel_acc=0.725615 acc/iou=0.620769 best_acc/pixel_acc=0.851811 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
val,step=4278,epoch=138,loss=0.503338 loss_rec=0.503338 loss_eq=0.000000 acc/pixel_acc=0.851033 acc/mean_pixel_acc=0.733873 acc/iou=0.625607 best_acc/pixel_acc=0.851811 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
train,step=4300,epoch=139,loss=0.231391 loss_rec=0.218804 loss_eq=0.251729 acc/pixel_acc=0.925387 acc/mean_pixel_acc=0.893651 acc/iou=0.822604
val,step=4309,epoch=139,loss=0.451878 loss_rec=0.451878 loss_eq=0.000000 acc/pixel_acc=0.848208 acc/mean_pixel_acc=0.718533 acc/iou=0.615032 best_acc/pixel_acc=0.851811 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
val,step=4340,epoch=140,loss=0.452837 loss_rec=0.452837 loss_eq=0.000000 acc/pixel_acc=0.849086 acc/mean_pixel_acc=0.723743 acc/iou=0.621931 best_acc/pixel_acc=0.851811 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
val,step=4371,epoch=141,loss=0.466437 loss_rec=0.466437 loss_eq=0.000000 acc/pixel_acc=0.844758 acc/mean_pixel_acc=0.707851 acc/iou=0.609394 best_acc/pixel_acc=0.851811 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
train,step=4400,epoch=142,loss=0.211431 loss_rec=0.201749 loss_eq=0.193645 acc/pixel_acc=0.924241 acc/mean_pixel_acc=0.893980 acc/iou=0.820274
val,step=4402,epoch=142,loss=0.479347 loss_rec=0.479347 loss_eq=0.000000 acc/pixel_acc=0.847870 acc/mean_pixel_acc=0.722558 acc/iou=0.625393 best_acc/pixel_acc=0.851811 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
val,step=4433,epoch=143,loss=0.484367 loss_rec=0.484367 loss_eq=0.000000 acc/pixel_acc=0.851853 acc/mean_pixel_acc=0.734347 acc/iou=0.637083 best_acc/pixel_acc=0.851853 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
val,step=4464,epoch=144,loss=0.431081 loss_rec=0.431081 loss_eq=0.000000 acc/pixel_acc=0.848438 acc/mean_pixel_acc=0.714807 acc/iou=0.619285 best_acc/pixel_acc=0.851853 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
val,step=4495,epoch=145,loss=0.460918 loss_rec=0.460918 loss_eq=0.000000 acc/pixel_acc=0.843171 acc/mean_pixel_acc=0.728584 acc/iou=0.621254 best_acc/pixel_acc=0.851853 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
train,step=4500,epoch=146,loss=0.202808 loss_rec=0.190639 loss_eq=0.243374 acc/pixel_acc=0.923567 acc/mean_pixel_acc=0.888706 acc/iou=0.816646
val,step=4526,epoch=146,loss=0.542870 loss_rec=0.542870 loss_eq=0.000000 acc/pixel_acc=0.839986 acc/mean_pixel_acc=0.721635 acc/iou=0.609441 best_acc/pixel_acc=0.851853 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
val,step=4557,epoch=147,loss=0.477272 loss_rec=0.477272 loss_eq=0.000000 acc/pixel_acc=0.843094 acc/mean_pixel_acc=0.740221 acc/iou=0.620711 best_acc/pixel_acc=0.851853 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
val,step=4588,epoch=148,loss=0.494603 loss_rec=0.494603 loss_eq=0.000000 acc/pixel_acc=0.846740 acc/mean_pixel_acc=0.741217 acc/iou=0.623879 best_acc/pixel_acc=0.851853 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
train,step=4600,epoch=149,loss=0.219189 loss_rec=0.208175 loss_eq=0.220281 acc/pixel_acc=0.922827 acc/mean_pixel_acc=0.885201 acc/iou=0.812490
val,step=4619,epoch=149,loss=0.568341 loss_rec=0.568341 loss_eq=0.000000 acc/pixel_acc=0.831602 acc/mean_pixel_acc=0.746813 acc/iou=0.613917 best_acc/pixel_acc=0.851853 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
val,step=4650,epoch=150,loss=0.487098 loss_rec=0.487098 loss_eq=0.000000 acc/pixel_acc=0.845535 acc/mean_pixel_acc=0.719187 acc/iou=0.616355 best_acc/pixel_acc=0.851853 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
val,step=4681,epoch=151,loss=0.475357 loss_rec=0.475357 loss_eq=0.000000 acc/pixel_acc=0.846907 acc/mean_pixel_acc=0.726068 acc/iou=0.618958 best_acc/pixel_acc=0.851853 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
train,step=4700,epoch=152,loss=0.193502 loss_rec=0.182951 loss_eq=0.211024 acc/pixel_acc=0.924999 acc/mean_pixel_acc=0.893800 acc/iou=0.820874
val,step=4712,epoch=152,loss=0.431726 loss_rec=0.431726 loss_eq=0.000000 acc/pixel_acc=0.853637 acc/mean_pixel_acc=0.721836 acc/iou=0.626724 best_acc/pixel_acc=0.853637 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
val,step=4743,epoch=153,loss=0.463363 loss_rec=0.463363 loss_eq=0.000000 acc/pixel_acc=0.851875 acc/mean_pixel_acc=0.730126 acc/iou=0.632588 best_acc/pixel_acc=0.853637 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
val,step=4774,epoch=154,loss=0.484351 loss_rec=0.484351 loss_eq=0.000000 acc/pixel_acc=0.849763 acc/mean_pixel_acc=0.744676 acc/iou=0.632611 best_acc/pixel_acc=0.853637 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
train,step=4800,epoch=155,loss=0.209349 loss_rec=0.198178 loss_eq=0.223413 acc/pixel_acc=0.924769 acc/mean_pixel_acc=0.896613 acc/iou=0.824823
val,step=4805,epoch=155,loss=0.520006 loss_rec=0.520006 loss_eq=0.000000 acc/pixel_acc=0.844371 acc/mean_pixel_acc=0.762450 acc/iou=0.642075 best_acc/pixel_acc=0.853637 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.643385
val,step=4836,epoch=156,loss=0.415033 loss_rec=0.415033 loss_eq=0.000000 acc/pixel_acc=0.849102 acc/mean_pixel_acc=0.748552 acc/iou=0.645373 best_acc/pixel_acc=0.853637 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.645373
val,step=4867,epoch=157,loss=0.489902 loss_rec=0.489902 loss_eq=0.000000 acc/pixel_acc=0.844658 acc/mean_pixel_acc=0.733618 acc/iou=0.620159 best_acc/pixel_acc=0.853637 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.645373
val,step=4898,epoch=158,loss=0.450777 loss_rec=0.450777 loss_eq=0.000000 acc/pixel_acc=0.843759 acc/mean_pixel_acc=0.733580 acc/iou=0.620251 best_acc/pixel_acc=0.853637 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.645373
train,step=4900,epoch=159,loss=0.241029 loss_rec=0.229643 loss_eq=0.227720 acc/pixel_acc=0.922267 acc/mean_pixel_acc=0.874083 acc/iou=0.797375
val,step=4929,epoch=159,loss=0.440856 loss_rec=0.440856 loss_eq=0.000000 acc/pixel_acc=0.849489 acc/mean_pixel_acc=0.740753 acc/iou=0.636225 best_acc/pixel_acc=0.853637 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.645373
val,step=4960,epoch=160,loss=0.433724 loss_rec=0.433724 loss_eq=0.000000 acc/pixel_acc=0.853373 acc/mean_pixel_acc=0.729858 acc/iou=0.635935 best_acc/pixel_acc=0.853637 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.645373
val,step=4991,epoch=161,loss=0.471306 loss_rec=0.471306 loss_eq=0.000000 acc/pixel_acc=0.852621 acc/mean_pixel_acc=0.733965 acc/iou=0.638029 best_acc/pixel_acc=0.853637 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.645373
train,step=5000,epoch=162,loss=0.234451 loss_rec=0.222224 loss_eq=0.244537 acc/pixel_acc=0.928208 acc/mean_pixel_acc=0.902706 acc/iou=0.832152
val,step=5022,epoch=162,loss=0.458766 loss_rec=0.458766 loss_eq=0.000000 acc/pixel_acc=0.852758 acc/mean_pixel_acc=0.734581 acc/iou=0.635736 best_acc/pixel_acc=0.853637 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.645373
val,step=5053,epoch=163,loss=0.459000 loss_rec=0.459000 loss_eq=0.000000 acc/pixel_acc=0.849304 acc/mean_pixel_acc=0.748282 acc/iou=0.628791 best_acc/pixel_acc=0.853637 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.645373
val,step=5084,epoch=164,loss=0.468219 loss_rec=0.468219 loss_eq=0.000000 acc/pixel_acc=0.845089 acc/mean_pixel_acc=0.744194 acc/iou=0.627816 best_acc/pixel_acc=0.853637 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.645373
train,step=5100,epoch=165,loss=0.237914 loss_rec=0.226479 loss_eq=0.228707 acc/pixel_acc=0.926898 acc/mean_pixel_acc=0.892408 acc/iou=0.822752
val,step=5115,epoch=165,loss=0.457562 loss_rec=0.457562 loss_eq=0.000000 acc/pixel_acc=0.855462 acc/mean_pixel_acc=0.750835 acc/iou=0.653577 best_acc/pixel_acc=0.855462 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.653577
val,step=5146,epoch=166,loss=0.444867 loss_rec=0.444867 loss_eq=0.000000 acc/pixel_acc=0.852503 acc/mean_pixel_acc=0.711589 acc/iou=0.623828 best_acc/pixel_acc=0.855462 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.653577
val,step=5177,epoch=167,loss=0.471217 loss_rec=0.471217 loss_eq=0.000000 acc/pixel_acc=0.852574 acc/mean_pixel_acc=0.726131 acc/iou=0.635238 best_acc/pixel_acc=0.855462 best_acc/mean_pixel_acc=0.762676 best_acc/iou=0.653577
